P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-819 b,33.199565,Kepler-819,39.177218,15.03,0.86,5279.0,0.19220469,12.357692,477.67141,Neptunian,0.81,K,0.45652581,Hot,0,0.31379349,2.75766,8.0359058,0.19220469
Kepler-820 b,127.83381,Kepler-820,39.220678,13.968,1.23,6260.0,0.53199609,8.9918057,441.17068,Jovian,1.36,F,2.5448594,Hot,0,0.24007689,6.08703,30.820942,0.53199609
Kepler-821 b,1.9227987,Kepler-821,39.37953,14.829,0.84,5191.0,0.028546872,510.92328,1211.2501,Terran,0.8,K,0.41636358,Hot,0,0.28923663,1.31157,2.2754822,0.028546872
Kepler-822 b,3.2229693,Kepler-822,39.550179,14.609,1.06,5928.0,0.04352936,681.0898,1301.5055,Superterran,1.08,G,1.2905325,Hot,0,0.26802076,1.77118,3.7895405,0.04352936
Kepler-823 b,4.1680908,Kepler-823,39.220204,14.801,0.98,5643.0,0.050335729,330.45977,1086.2369,Superterran,0.96,G,0.83728115,Hot,0,0.27990323,1.5694,3.086051,0.050335729
Kepler-824 b,4.5143663,Kepler-824,39.732009,14.946,1.15,6035.0,0.055993812,564.20553,1241.6644,Superterran,1.22,F,1.7689575,Hot,0,0.26340936,1.87207,4.1632686,0.055993812
Kepler-825 b,3.7736006,Kepler-825,39.398514,14.207,1.03,5976.0,0.047895265,581.02304,1250.8155,Superterran,1.08,G,1.3328415,Hot,0,0.28016917,1.52456,2.9378483,0.047895265
Kepler-825 c,8.1818246,Kepler-825,39.398514,14.207,1.03,5976.0,0.080233439,207.0464,966.41093,Superterran,1.08,G,1.3328415,Hot,0,0.269206,1.83844,4.0370889,0.080233439
Kepler-826 b,4.4875891,Kepler-826,39.240548,13.446,1.05,6079.0,0.054106325,552.73482,1235.3048,Terran,1.15,F,1.6181281,Hot,0,0.29090791,1.25552,2.1128564,0.054106325
Kepler-827 b,51.929276,Kepler-827,42.708569,15.897,0.93,5602.0,0.26583494,10.33998,456.85127,Neptunian,0.91,G,0.73070798,Hot,0,0.23649263,5.62742,26.97477,0.26583494
Kepler-828 b,0.56785714,Kepler-828,42.471256,15.055,0.81,5039.0,0.012507311,2189.3725,1742.7088,Superterran,0.77,K,0.34248971,Hot,0,0.27892705,1.51335,2.9012671,0.012507311
Kepler-829 b,6.8833756,Kepler-829,42.463825,14.931,0.98,5698.0,0.070326536,179.67326,932.7511,Superterran,0.97,G,0.88863189,Hot,0,0.2566972,2.10748,5.0906262,0.070326536
Kepler-830 b,11.296951,Kepler-830,42.756847,14.788,1.07,6037.0,0.10075772,144.43174,883.20308,Superterran,1.11,F,1.4662881,Hot,0,0.27873094,1.70392,3.5484667,0.10075772
Kepler-831 b,5.6215394,Kepler-831,42.727669,13.687,0.99,5732.0,0.061653555,239.40906,1002.1438,Terran,0.97,G,0.91003237,Hot,0,0.29385642,1.26673,2.1449845,0.061653555
Kepler-832 b,7.1396941,Kepler-832,45.383862,15.906,0.92,5596.0,0.070559999,142.94447,880.92056,Superterran,0.9,G,0.71167955,Hot,0,0.26081405,2.06264,4.9081044,0.070559999
Kepler-833 b,18.7547,Kepler-833,45.6007,15.473,0.64,4339.0,0.11902631,8.6167738,436.49682,Superterran,0.62,K,0.12207609,Hot,0,0.3912884,2.0178,4.7283306,0.11902631
Kepler-834 b,13.323883,Kepler-834,45.180374,15.931,0.7,4554.0,0.097640377,17.607177,521.87602,Superterran,0.66,K,0.16786054,Hot,0,0.32534071,2.0178,4.7283306,0.097640377
Kepler-835 b,11.419094,Kepler-835,45.734802,15.965,1.08,5954.0,0.10179784,133.87293,866.59884,Neptunian,1.11,G,1.3872985,Hot,0,0.22740858,2.79129,8.2029943,0.10179784
Kepler-836 b,11.361123,Kepler-836,45.704399,14.63,1.03,5895.0,0.099862588,117.3505,838.52524,Neptunian,1.04,G,1.1702821,Hot,0,0.23113628,2.73524,7.9252992,0.099862588
Kepler-837 b,16.560595,Kepler-837,45.950195,15.198,0.85,5403.0,0.12042033,34.54609,617.65311,Neptunian,0.81,G,0.50095481,Hot,0,0.26444344,2.55588,7.063293,0.12042033
Kepler-838 b,15.74958,Kepler-838,45.976021,15.3,0.98,5770.0,0.12211366,61.377033,713.09334,Neptunian,0.96,G,0.91523868,Hot,0,0.2408172,2.73524,7.9252992,0.12211366
Kepler-839 b,37.814451,Kepler-839,45.242584,13.601,1.22,6058.0,0.23554183,37.326065,629.72069,Neptunian,1.31,F,2.0708484,Hot,0,0.26129959,2.56709,7.1159697,0.23554183
Kepler-841 b,124.41984,Kepler-841,48.809612,15.74,0.85,5324.0,0.46192945,2.2133983,310.74905,Neptunian,0.81,G,0.47229231,Hot,0,0.45047988,5.23507,23.859943,0.46192945
