P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
55 Cnc c,44.4175,55 Cnc,28.330818,5.96,0.91,5196.0,0.24142428,9.9064859,451.95192,Jovian,0.94,G,0.57705994,Hot,0,0.19669217,8.5133162,54.47572,0.241376
55 Cnc e,0.736539,55 Cnc,28.330818,5.96,0.91,5196.0,0.01544,2420.6184,1787.008,Superterran,0.94,G,0.57705994,Hot,0,0.2598972,1.9057,8.0791878,0.01544
61 Vir b,4.215,61 Vir,-18.311195,4.74,0.94,5577.0,0.050562447,319.27036,1074.0012,Superterran,0.96,G,0.79879197,Hot,0,0.25355145,2.1061683,5.085248,0.050201
61 Vir c,38.021,61 Vir,-18.311195,4.74,0.94,5577.0,0.2196315,17.0535,515.80897,Neptunian,0.96,G,0.79879197,Hot,0,0.22814035,4.4511957,18.116196,0.2175
61 Vir d,123.01,61 Vir,-18.311195,4.74,0.94,5577.0,0.505155,3.7635373,346.34605,Neptunian,0.96,G,0.79879197,Hot,0,0.37195088,5.1078157,22.883616,0.476
BD+20 594 b,41.6855,BD+20 594,20.599232,11.038,1.67,5766.0,0.27908623,14.830572,499.95899,Neptunian,1.08,G,1.1551402,Hot,0,0.30796205,2.5783,22.24796,0.27908623
BD-06 1339 b,3.8728,BD-06 1339,-5.994844,9.7,0.7,4324.0,0.0428,59.571932,707.79148,Superterran,0.59026756,K,0.10912625,Hot,0,0.23577592,2.8664188,8.5813561,0.0428
BD-06 1339 c,125.94,BD-06 1339,-5.994844,9.7,0.7,4324.0,0.45590175,0.6065834,220.65029,Jovian,0.59026756,K,0.10912625,Warm,0,0.41593589,8.47229,54.03076,0.435
BD-08 2823 b,5.6,BD-08 2823,-9.51668,9.88,0.5,4816.0,0.060675,68.263786,729.1933,Neptunian,0.71,K,0.24296922,Hot,0,0.20503107,3.6130979,12.71312,0.06
BD-08 2823 c,237.6,BD-08 2823,-9.51668,9.88,0.5,4816.0,0.692274,0.53520165,216.41573,Jovian,0.71,K,0.24296922,Warm,0,0.36057653,12.521925,104.88324,0.68
CoRoT-22 b,9.75598,CoRoT-22,6.219136,13.944,1.1,5939.0,0.092272734,171.65928,921.14439,Neptunian,1.14,G,1.4486106,Hot,0,0.15972958,4.87635,12.077464,0.092
CoRoT-7 b,0.85359163,CoRoT-7,-1.063033,11.668,0.82,5275.0,0.016479635,1759.7036,1650.0792,Superterran,0.83,G,0.47789742,Hot,0,0.2711924,1.6815,3.17828,0.016479635
CoRoT-7 c,3.698,CoRoT-7,-1.063033,11.668,0.82,5275.0,0.046,225.84944,987.64226,Superterran,0.83,G,0.47789742,Hot,0,0.22191743,2.8306203,8.4001941,0.046
CoRoT-8 b,6.21229,CoRoT-8,1.426452,14.8,0.88,5080.0,0.063,89.134092,782.80911,Jovian,0.77,K,0.35377321,Hot,0,0.13742542,6.3897,69.922161,0.063
DS Tuc A b,8.138268,DS Tuc A,-69.195747,8.469,1.01,5428.0,0.079427582,113.61817,831.7769,Neptunian,0.96,G,0.71678757,Hot,0,0.14622437,5.70589,27.616484,0.079427582
EPIC 205950854 c,8.050722,K2-168,-16.341755,12.291,0.88,5502.7,0.075317114,99.761011,805.16543,Terran,0.83,G,0.56591105,Hot,0,0.30040596,1.31157,2.2754822,0.075317114
EPIC 211822797 b,21.169861,EPIC 211822797,17.640005,15.256,0.66,4148.21,0.1312358,5.0317823,381.31313,Superterran,0.57,M,0.086194845,Hot,0,0.47295382,1.98417,4.5953145,0.131
EPIC 211945201 b,19.49221,EPIC 211945201,19.402252,10.154,1.17,6069.0,0.1493,105.35792,816.22841,Neptunian,1.39,G,2.3484796,Hot,0,0.14598589,5.76194,28.078642,0.1493
EPIC 212737443 b,13.603,EPIC 212737443,-7.318144,14.836,0.69,4684.0,0.09996,20.573967,538.46915,Neptunian,0.67,K,0.1936002,Hot,0,0.28611074,2.58951,7.2218056,0.098
EPIC 212737443 c,65.55,EPIC 212737443,-7.318144,14.836,0.69,4684.0,0.2856,2.5203109,318.56264,Neptunian,0.67,K,0.1936002,Hot,0,0.55484659,2.6904,7.7059808,0.28
EPIC 220674823 c,13.339079,EPIC 220674823,10.794699,12.102,0.97,5617.0,0.1091,71.962956,742.03119,Neptunian,0.98,G,0.85656139,Hot,0,0.23785034,2.73524,7.9252992,0.1091
EPIC 246865365 b,3.38628,EPIC 246865365,16.414202,14.963,1.09,6100.0,0.045408131,925.09025,1405.0473,Jovian,1.24,F,1.9074421,Hot,0,0.088231145,9.90964,70.499802,0.045408131
GJ 1132 b,1.628931,GJ 1132,-47.156727,13.49,0.18,3270.0,0.01567026,19.78373,532.3506,Terran,0.21,M,0.004517709,Hot,0,0.35877177,1.1609198,1.6590622,0.0153
GJ 1132 c,8.929,GJ 1132,-47.156727,13.49,0.18,3270.0,0.04933502,2.0708138,301.33711,Terran,0.21,M,0.004517709,Hot,0,0.72328994,1.4318957,2.6411507,0.0476
GJ 1148 b,41.38,GJ 1148,42.751972,11.92,0.35,3264.0,0.1779852,0.63834824,221.23955,Jovian,0.4,M,0.016270812,Warm,0,0.38216808,11.936835,96.69917,0.166
GJ 1214 b,1.5804046,GJ 1214,4.96392,15.1,0.15,3026.0,0.01411,18.262309,526.66424,Neptunian,0.22,M,0.003635881,Hot,0,0.28108586,2.84734,6.2612117,0.01411
GJ 1265 b,3.6511,GJ 1265,-17.685771,13.57,0.18,3236.0,0.0260208,5.2508658,385.5425,Superterran,0.19,M,0.003546745,Hot,0,0.42395713,2.6267538,7.3990359,0.026
GJ 143 b,35.61253,GJ 143,-63.4991,7.87,0.73,4640.0,0.19488419,5.4895274,387.35278,Neptunian,0.69,K,0.19772371,Hot,0,0.41786258,2.61193,22.699276,0.1915
GJ 163 b,8.63182,GJ 163,-53.373699,11.81,0.4,3500.0,0.060861735,5.3391293,386.88117,Neptunian,0.382,M,0.019619483,Hot,0,0.3882952,3.2461593,10.599564,0.0607
GJ 163 c,25.63058,GJ 163,-53.373699,11.81,0.4,3500.0,0.12601452,1.2538086,269.09231,Superterran,0.382,M,0.019619483,Warm,2,0.68670545,2.4996552,6.8015193,0.1254
GJ 273 b,18.6498,GJ 273,5.225785,9.872,0.29,3382.0,0.091556505,1.1937549,265.80058,Terran,0.29,M,0.009857779,Warm,1,0.84342178,1.5095953,2.8890565,0.091101
GJ 273 c,4.7234,GJ 273,5.225785,9.872,0.29,3382.0,0.036993948,7.5222369,419.61315,Terran,0.29,M,0.009857779,Hot,0,0.45850136,1.0554253,1.1791419,0.036467
GJ 3138 b,1.22003,GJ 3138,-16.339592,10.98,0.68,3717.0,0.020055585,112.21488,823.51608,Terran,0.5,M,0.04275618,Hot,0,0.30283713,1.1839043,1.7798368,0.0197
GJ 3138 c,5.974,GJ 3138,-16.339592,10.98,0.68,3717.0,0.05734485,13.240144,484.87267,Terran,0.5,M,0.04275618,Hot,0,0.35515277,1.8763492,4.1794382,0.057
GJ 3138 d,257.8,GJ 3138,-16.339592,10.98,0.68,3717.0,0.7337376,0.092628927,137.75525,Neptunian,0.5,M,0.04275618,Cold,0,0.30452358,3.2283528,10.501037,0.698
GJ 3293 b,30.5987,GJ 3293,-25.169301,11.962,0.42,3466.0,0.1436481,1.008018,255.10464,Neptunian,0.4,M,0.020688207,Warm,0,0.52122719,5.1933932,23.538342,0.14339
GJ 3293 c,122.6196,GJ 3293,-25.169301,11.962,0.42,3466.0,0.36393859,0.15905572,160.5247,Neptunian,0.4,M,0.020688207,Cold,0,0.30684382,4.8682094,21.091066,0.36175
GJ 3293 d,48.1345,GJ 3293,-25.169301,11.962,0.42,3466.0,0.19533637,0.55403568,219.20455,Superterran,0.4,M,0.020688207,Warm,2,0.61973842,2.6683929,7.5992676,0.19394
GJ 3293 e,13.2543,GJ 3293,-25.169301,11.962,0.42,3466.0,0.083889864,3.140812,336.3145,Terran,0.4,M,0.020688207,Hot,0,0.59736812,1.626761,3.279985,0.08208
GJ 3323 b,5.3636,GJ 3323,-6.946263,12.22,0.16,3159.0,0.033688089,1.2256729,265.35756,Terran,0.12,M,0.001284842,Warm,1,0.89839814,1.2266953,2.0213861,0.03282
GJ 3323 c,40.54,GJ 3323,-6.946263,12.22,0.16,3159.0,0.12822648,0.081606268,135.42324,Terran,0.12,M,0.001284842,Cold,0,0.39157817,1.323458,2.3106096,0.1264
GJ 3341 b,14.207,GJ 3341,-31.295951,12.08,0.47,3526.0,0.09327645,3.5602707,343.44139,Superterran,0.44,M,0.026811631,Hot,0,0.50351493,2.4581349,6.6108225,0.089
GJ 3470 b,3.3366496,GJ 3470,15.391492,12.33,0.54,3600.0,0.0355,36.121629,624.57808,Neptunian,0.55,M,0.045522282,Hot,0,0.19183894,4.57368,13.898619,0.0355
GJ 357 b,3.93072,GJ 357,-21.660797,10.92,0.34,3505.0,0.035,12.760347,481.51579,Terran,0.34,M,0.015631425,Hot,0,0.3915561,1.22189,1.8402241,0.035
GJ 357 c,9.1247,GJ 357,-21.660797,10.92,0.34,3505.0,0.061,4.2008667,364.73684,Terran,0.34,M,0.015631425,Hot,0,0.53064379,1.6617796,3.4007596,0.061
GJ 357 d,55.661,GJ 357,-21.660797,10.92,0.34,3505.0,0.204,0.37561094,199.4479,Superterran,0.34,M,0.015631425,Warm,2,0.57128654,2.3442156,6.0991194,0.204
GJ 3779 b,3.0232,GJ 3779,24.467626,12.96,0.27,3324.0,0.0260637,12.716533,480.6592,Superterran,0.28,M,0.008575289,Hot,0,0.31171787,2.7503414,7.9997308,0.026
GJ 3942 b,6.905,GJ 3942,52.943874,10.25,0.63,3867.0,0.061245086,20.316112,539.3931,Superterran,0.61,M,0.074549546,Hot,0,0.28767606,2.5718565,7.1384169,0.0608
GJ 3998 b,2.64977,GJ 3998,11.057666,10.83,0.5,3722.0,0.029,49.08969,674.36105,Terran,0.49,M,0.041284429,Hot,0,0.31195279,1.3763357,2.4695236,0.029
GJ 3998 c,13.74,GJ 3998,11.057666,10.83,0.5,3722.0,0.089106844,5.2182907,384.88524,Superterran,0.49,M,0.041284429,Hot,0,0.44009772,2.3807127,6.2612117,0.089
GJ 411 b,12.9532,GJ 411,35.969879,7.49,0.39,3563.0,0.0803997,3.6535463,348.97906,Terran,0.39,M,0.021962468,Hot,0,0.56962921,1.5406737,2.9907615,0.0785
GJ 433 b,7.3709,GJ 433,-32.53997,9.806,0.59,3461.0,0.060192,8.9562614,440.20403,Superterran,0.5,M,0.032139199,Hot,0,0.36422091,2.4020004,6.3565601,0.06
GJ 536 b,8.7076,GJ 536,-2.654864,9.72,0.52,3685.0,0.066823152,9.3388622,444.83179,Superterran,0.5,M,0.041302717,Hot,0,0.37267725,2.1721284,5.3585801,0.06661
GJ 581 b,5.368,GJ 581,-7.72228,10.56,0.32300001,3498.0,0.041009923,7.1358813,416.35844,Neptunian,0.29899999,M,0.011992514,Hot,0,0.318045,4.0140343,15.2,0.041000001
GJ 581 c,12.919,GJ 581,-7.72228,10.56,0.32300001,3498.0,0.074280054,2.1983489,309.77811,Superterran,0.29899999,M,0.011992514,Hot,0,0.6211458,2.241415,5.652,0.074000001
GJ 581 e,3.1530001,GJ 581,-7.72228,10.56,0.32300001,3498.0,0.029226562,14.372555,494.59254,Terran,0.29899999,M,0.011992514,Hot,0,0.38264987,1.160517,1.657,0.028999999
GJ 625 b,14.628,GJ 625,54.304104,10.1,0.3,3499.0,0.07902315,2.1197713,306.42984,Terran,0.31,M,0.012905885,Hot,0,0.71078019,1.4879674,2.8191344,0.078361
GJ 667 C b,7.2004,GJ 667 C,-34.996827,10.22,0.33,3350.0,0.050926725,8.2243202,430.0647,Superterran,0.42929603,M,0.020796086,Hot,0,0.38258998,2.2574697,5.7209041,0.0505
GJ 667 C c,28.14,GJ 667 C,-34.996827,10.22,0.33,3350.0,0.125025,1.3312158,273.63677,Terran,0.42929603,M,0.020796086,Warm,1,0.77796153,1.777887,3.813936,0.125
GJ 667 C e,62.24,GJ 667 C,-34.996827,10.22,0.33,3350.0,0.2130426,0.45846827,209.62335,Terran,0.42929603,M,0.020796086,Warm,1,0.71219407,1.4001882,2.542624,0.213
GJ 667 C f,39.026,GJ 667 C,-34.996827,10.22,0.33,3350.0,0.1560702,0.85492484,244.93653,Terran,0.42929603,M,0.020796086,Warm,1,0.86977617,1.4001882,2.542624,0.156
GJ 667 C g,256.2,GJ 667 C,-34.996827,10.22,0.33,3350.0,0.5507568,0.069219926,130.52091,Terran,0.42929603,M,0.020796086,Cold,0,0.34385546,1.9468648,4.449592,0.549
GJ 676 A d,3.6005,GJ 676 A,-51.636978,9.58,0.73,3734.0,0.042807002,50.165845,669.09551,Terran,0.69,M,0.082924733,Hot,0,0.28355303,1.9468648,4.449592,0.041386533
GJ 676 A e,35.39,GJ 676 A,-51.636978,9.58,0.73,3734.0,0.19138915,2.3175476,313.41605,Superterran,0.69,M,0.082924733,Hot,0,0.56751232,2.7393849,7.9457001,0.18990551
GJ 685 b,24.16,GJ 685,61.681564,9.97,0.55,3816.0,0.1344,3.0669811,337.14963,Superterran,0.54,M,0.055399983,Hot,0,0.49911126,2.9481483,9.000889,0.1344
GJ 687 b,38.14,GJ 687,68.339142,9.15,0.45,3340.0,0.170136,0.71393931,234.11533,Neptunian,0.43,M,0.020616333,Warm,0,0.53089782,4.5877261,19.06968,0.17
GJ 832 c,35.68,GJ 832,-49.009006,8.66,0.45,3472.0,0.1656406,1.2234795,266.29863,Superterran,0.49557131,M,0.031975683,Warm,2,0.72779088,2.182734,5.403076,0.163
GJ 9827 b,1.2089819,GJ 9827,-1.286273,10.25,0.61,4340.0,0.0188,323.76833,1080.6959,Superterran,0.6,K,0.11443268,Hot,0,0.2794649,1.58061,4.9104426,0.0188
GJ 9827 c,3.6480957,GJ 9827,-1.286273,10.25,0.61,4340.0,0.03925,74.279803,747.93283,Terran,0.6,K,0.11443268,Hot,0,0.30738876,1.24431,0.83906593,0.03925
GJ 9827 d,6.2014698,GJ 9827,-1.286273,10.25,0.61,4340.0,0.05591,36.607585,626.66823,Superterran,0.6,K,0.11443268,Hot,0,0.28929095,2.0178,4.0395939,0.05591
Gl 378 b,3.822,Gl 378,48.088806,10.19,0.56,3879.0,0.039669264,41.150537,643.82288,Neptunian,0.56,M,0.063612698,Hot,0,0.2146175,3.6644504,13.021413,0.039435
Gl 49 b,13.8508,Gl 49,62.345043,9.56,0.52,3805.0,0.096462547,6.4007791,394.75053,Superterran,0.51,M,0.048848096,Hot,0,0.41757765,2.235976,5.6287339,0.0905
Gl 686 b,15.5314,Gl 686,18.591709,9.577,0.42,3663.0,0.091971845,3.39381,345.4083,Superterran,0.42,M,0.028453448,Hot,0,0.51240568,2.4643939,6.639427,0.0917
HAT-P-11 b,4.8878024,HAT-P-11,48.080856,9.174,0.81,4780.0,0.053788455,80.280654,755.69713,Neptunian,0.68,K,0.21628085,Hot,0,0.18011769,4.36069,23.398498,0.05254
HAT-P-12 b,3.2130598,HAT-P-12,43.493534,12.84,0.73,4650.0,0.0384,139.19835,875.09143,Jovian,0.7,K,0.20525632,Hot,0,0.088893894,10.75039,67.061709,0.0384
HAT-P-18 b,5.508023,HAT-P-18,33.012512,12.759,0.77,4803.0,0.056097215,86.13418,775.1085,Jovian,0.75,K,0.2682017,Hot,0,0.09099285,11.15395,62.612117,0.0559
HAT-P-19 b,4.008778,HAT-P-19,34.711575,12.901,0.84,4990.0,0.046704594,172.3946,922.37938,Jovian,0.82,K,0.37352402,Hot,0,0.076361023,12.68972,92.805777,0.0466
HAT-P-26 b,4.23452,HAT-P-26,4.059997,11.744,1.12,5079.0,0.053567421,160.70138,904.62801,Jovian,0.87,K,0.45127368,Hot,0,0.1222707,7.0623,22.24796,0.053184492
HAT-P-38 b,4.640382,HAT-P-38,32.246151,12.557,0.89,5330.0,0.052417387,224.25737,985.06605,Jovian,0.92,G,0.6120306,Hot,0,0.097199814,9.24825,84.860077,0.0523
HAT-P-51 b,4.2180278,HAT-P-51,32.810764,13.44,0.98,5449.0,0.051073445,335.03355,1086.8687,Jovian,1.04,G,0.8543239,Hot,0,0.065484818,14.49453,98.208853,0.05069
HATS-12 b,3.142702,HATS-12,-19.355907,12.756,1.16,6357.0,0.0441,1029.8928,1443.2545,Jovian,1.17,F,2.0029459,Hot,0,0.10794607,7.75732,46.519402,0.0441
HATS-36 b,4.175186,HATS-36,-23.202793,14.386,1.1,5950.0,0.0523,496.75072,1202.7615,Jovian,1.1,G,1.3587573,Hot,0,0.071194939,12.92513,110.68129,0.0523
HATS-43 b,4.3888497,HATS-43,-30.970833,13.593,0.84,5099.0,0.050179845,165.05932,908.00119,Jovian,0.81,K,0.39737334,Hot,0,0.074074148,13.2278,82.953109,0.04944
HATS-46 b,4.7423729,HATS-46,-56.316113,13.634,0.92,5495.0,0.062055428,247.11081,943.45879,Jovian,0.85,G,0.59019739,Hot,0,0.089876699,10.12263,54.984245,0.05367
HATS-5 b,4.763387,HATS-5,-21.481916,12.63,0.94,5304.0,0.054209783,182.73471,936.63584,Jovian,0.87,G,0.53671189,Hot,0,0.090684947,10.22352,75.325237,0.0542
HATS-50 b,3.8297015,HATS-50,-26.077583,14.033,1.17,5990.0,0.057177639,663.38433,1221.7136,Jovian,1.12,G,1.4468782,Hot,0,0.071901711,12.6673,123.95292,0.05046
HATS-6 b,3.3252725,HATS-6,-19.031656,15.16,0.57,3724.0,0.03623,42.652096,651.07348,Jovian,0.57,M,0.055985692,Hot,0,0.1030073,11.18758,101.38713,0.03623
HATS-62 b,3.2768837,HATS-62,-24.303471,14.015,0.9,5416.0,0.043478455,403.04213,1121.9262,Jovian,0.93,G,0.66675943,Hot,0,0.077345017,11.82655,56.891213,0.04163
HATS-7 b,3.185315,HATS-7,-21.207695,13.34,0.85,4985.0,0.040699734,228.85769,985.49338,Jovian,0.81,K,0.36301062,Hot,0,0.13097739,6.31123,38.13936,0.04012
HATS-8 b,3.583893,HATS-8,-25.748318,14.03,1.06,5679.0,0.049969009,548.5952,1198.6485,Jovian,1.09,G,1.1072077,Hot,0,0.089979155,9.78633,43.860264,0.04667
HATS-9 b,1.915291,HATS-9,-20.166317,13.276,1.1,5599.0,0.0312,2201.2559,1745.0687,Jovian,1.56,G,2.1427905,Hot,0,0.065374365,13.85556,124.54582,0.0312
HD 10180 c,5.75969,HD 10180,-60.511528,7.321,1.06,5911.0,0.064290848,328.66366,1083.6721,Neptunian,1.11,G,1.3476541,Hot,0,0.18831647,3.6975355,13.221645,0.06412
HD 10180 d,16.357,HD 10180,-60.511528,7.321,1.06,5911.0,0.12969337,82.209661,764.65925,Neptunian,1.11,G,1.3476541,Hot,0,0.2060965,3.4946933,12.013899,0.12859
HD 10180 e,49.748,HD 10180,-60.511528,7.321,1.06,5911.0,0.270251,18.524147,528.28395,Neptunian,1.11,G,1.3476541,Hot,0,0.19939673,5.4548168,25.585154,0.2699
HD 10180 f,122.744,HD 10180,-60.511528,7.321,1.06,5911.0,0.49638998,5.5867316,390.63779,Neptunian,1.11,G,1.3476541,Hot,0,0.31522181,5.116168,22.947182,0.4929
HD 101930 b,70.46,HD 101930,-58.006886,8.21,0.57,5108.0,0.301815,5.0430132,380.91411,Jovian,0.86,K,0.45111691,Hot,0,0.24723159,10.632932,79.457001,0.3
HD 102117 b,20.8133,HD 102117,-58.703709,7.47,1.06,5655.0,0.15108,62.057809,713.12266,Jovian,1.23,G,1.3862109,Hot,0,0.11686108,8.47229,54.03076,0.15
HD 102195 b,4.11377,HD 102195,2.821483,8.062,0.76,5301.0,0.05,190.28632,946.23019,Jovian,0.82,K,0.47571579,Hot,0,0.068925563,14.229711,130.30948,0.05
HD 102365 b,122.1,HD 102365,-40.500355,4.91,0.85,5630.0,0.486588,2.8307461,323.00689,Neptunian,0.79105988,G,0.56330155,Hot,0,0.45237351,4.1205931,15.8914,0.46
HD 103197 b,47.84,HD 103197,-50.292824,9.391,0.8,5250.0,0.25,8.4335648,434.1579,Neptunian,0.88,K,0.5270978,Hot,0,0.25142214,5.8252587,28.60452,0.25
HD 103774 b,5.8881,HD 103774,-12.107909,7.121,1.33,6489.0,0.0702835,650.76046,1284.8083,Jovian,1.4139229,F,3.1757856,Hot,0,0.068810138,13.330753,116.64288,0.07
HD 104067 b,55.806,HD 104067,-20.353781,7.93,0.62,4937.0,0.26,4.311793,367.12113,Jovian,0.74,K,0.2914772,Hot,0,0.29279435,8.1750994,50.85248,0.26
HD 106315 b,9.55237,HD 106315,-0.393484,8.951,1.09,6327.0,0.091092232,296.23638,1055.2312,Neptunian,1.3,F,2.426424,Hot,0,0.23765085,2.44378,12.598702,0.0907
HD 106315 c,21.05704,HD 106315,-0.393484,8.951,1.09,6327.0,0.15731712,105.42826,808.83506,Neptunian,1.3,F,2.426424,Hot,0,0.17695376,4.34948,15.198535,0.1536
HD 107148 b,48.056,HD 107148,-3.319789,8.015,1.12,5797.0,0.26933625,15.218038,502.95688,Jovian,1.0425788,G,1.0998151,Hot,0,0.15540807,9.5951891,66.743881,0.269
HD 108147 b,10.8985,HD 108147,-64.022087,6.995,1.27,6265.0,0.1163259,139.6952,824.63247,Jovian,0.94493462,F,1.2324703,Hot,0,0.08785251,10.906054,82.953109,0.102
HD 109271 b,7.8543,HD 109271,-11.621868,8.055,1.05,5783.0,0.08146875,249.94859,1000.872,Neptunian,1.2277065,G,1.5103949,Hot,0,0.17149526,4.3116779,17.162712,0.079
HD 109271 c,30.93,HD 109271,-11.621868,8.055,1.05,5783.0,0.198205,39.76674,637.05228,Neptunian,1.2277065,G,1.5103949,Hot,0,0.17286905,5.2730951,24.154928,0.196
HD 109749 b,5.239891,HD 109749,-40.812115,8.08,1.13,5824.0,0.0615,405.64258,1143.3542,Jovian,1.22,G,1.5342417,Hot,0,0.081435462,11.126015,85.813561,0.0615
HD 11506 c,223.41,HD 11506,-19.506975,7.51,1.24,6030.0,0.78841536,3.6185,348.89525,Jovian,1.34,G,2.127,Hot,0,0.26670987,14.188786,129.67383,0.774
HD 117618 b,25.8,HD 117618,-47.271362,7.169,1.08,5990.0,0.182025,41.38244,643.42673,Jovian,1.0720419,G,1.3256213,Hot,0,0.12415447,8.5891438,55.302073,0.18
HD 119130 b,16.9841,HD 119130,-9.946078,9.917,1.0,5725.0,0.130104,67.718077,730.61854,Neptunian,1.09,G,1.1435196,Hot,0,0.24340763,2.63435,24.501361,0.13
HD 11964 c,37.91,HD 11964,-10.242428,6.42,1.12,5349.0,0.239305,41.918448,636.97529,Neptunian,1.6908649,G,2.0969924,Hot,0,0.16911754,5.3866696,25.044847,0.229
HD 125595 b,9.6737,HD 125595,-40.393948,9.03,0.29,4691.0,0.08,37.122212,628.85913,Superterran,0.74,K,0.23758216,Hot,0,0.26936269,2.4020004,6.3565601,0.08
HD 125612 c,4.15514,HD 125612,-17.481522,8.31,1.11,5841.0,0.052462906,419.25234,1152.3066,Neptunian,1.05,G,1.1497835,Hot,0,0.16833399,4.3585296,17.48054,0.0524
HD 134060 b,3.2696,HD 134060,-61.422321,6.29,1.09,5966.0,0.0488955,714.19475,1263.2608,Neptunian,1.0524783,G,1.2573261,Hot,0,0.20514572,3.1564286,10.10693,0.0444
HD 136352 b,11.5824,HD 136352,-48.317627,5.65,0.81,5664.0,0.09431532,96.354286,795.24925,Terran,0.95004113,G,0.83227422,Hot,0,0.26661284,2.0355597,4.7992028,0.0934
HD 136352 c,27.5821,HD 136352,-48.317627,5.65,0.81,5664.0,0.16673328,30.009873,596.11572,Neptunian,0.95004113,G,0.83227422,Hot,0,0.23864276,3.2832766,10.806152,0.1666
HD 136352 d,107.5983,HD 136352,-48.317627,5.65,0.81,5664.0,0.41447184,4.90403,378.54833,Superterran,0.95004113,G,0.83227422,Hot,0,0.42109016,2.8664188,8.5813561,0.4128
HD 1397 b,11.53533,HD 1397,-66.35891,7.781,1.32,5521.0,0.1131556,391.29881,1119.4376,Jovian,2.34,G,4.5581787,Hot,0,0.079277181,11.50146,131.89862,0.1097
HD 1461 b,5.77152,HD 1461,-8.053001,6.47,1.02,5765.0,0.064337813,290.68885,1046.0738,Superterran,1.0784499,G,1.1510279,Hot,0,0.23882412,2.4203436,6.4391953,0.0634
HD 1461 c,13.5052,HD 1461,-8.053001,6.47,1.02,5765.0,0.11689545,96.86834,784.87348,Superterran,1.0784499,G,1.1510279,Hot,0,0.25699041,2.2270398,5.5905946,0.1117
HD 149026 b,2.87589,HD 149026,38.347309,8.15,1.42,6179.0,0.044475466,1312.6793,1533.5028,Jovian,1.41,G,2.5965677,Hot,0,0.10196578,8.2954,120.77464,0.044475466
HD 15337 b,4.75615,HD 15337,-27.635206,9.088,0.9,5125.0,0.05241141,168.45584,916.44114,Superterran,0.86,K,0.45715242,Hot,0,0.28068107,1.63666,7.5102757,0.0522
HD 15337 c,17.1784,HD 15337,-27.635206,9.088,0.9,5125.0,0.1269585,28.468597,588.21028,Superterran,0.86,K,0.45715242,Hot,0,0.28004563,2.38773,8.1109706,0.1268
HD 156668 b,4.6455,HD 156668,29.227226,8.42,0.77,4850.0,0.05,102.79703,811.22263,Terran,0.72,K,0.25699259,Hot,0,0.27446548,1.863713,4.131764,0.05
HD 16141 b,75.523,HD 16141,-3.560602,6.83,1.11,5757.0,0.37125,17.179335,512.46883,Jovian,1.48,G,2.1557431,Hot,0,0.13867887,10.881423,82.635281,0.36
HD 164595 b,40.0,HD 164595,29.571922,7.1,0.99,5790.0,0.23089056,18.787559,529.63884,Neptunian,0.99155657,G,0.99000615,Hot,0,0.23092494,4.1583343,16.139306,0.23
HD 164922 c,75.765,HD 164922,26.313002,6.99,0.76,5372.0,0.34320942,6.4091444,401.62499,Neptunian,0.97,G,0.70206307,Hot,0,0.34533281,3.644393,12.900639,0.3351
HD 168746 b,6.404,HD 168746,-11.922684,7.946,1.07,5570.0,0.0704235,210.38262,968.07052,Jovian,1.09,G,1.024619,Hot,0,0.083893956,11.126015,85.813561,0.07
HD 175607 b,29.01,HD 175607,-66.19268,8.61,0.71,5392.0,0.16579843,13.746942,489.44744,Superterran,0.7,G,0.37109428,Hot,0,0.29640817,2.9438539,8.9786411,0.16480138
HD 176986 b,6.4898,HD 176986,-11.043926,8.42,0.79,4931.0,0.063097127,81.477254,764.8013,Superterran,0.78,K,0.3222685,Hot,0,0.25779027,2.2618988,5.7399737,0.06296
HD 176986 c,16.8191,HD 176986,-11.043926,8.42,0.79,4931.0,0.11951174,22.983878,556.53458,Superterran,0.78,K,0.3222685,Hot,0,0.26244881,2.9823468,9.1788727,0.11878
HD 177830 c,110.9,HD 177830,25.92066,7.177,1.7,4901.0,0.5368165,21.823421,541.06818,Neptunian,3.26,K,5.4936711,Hot,0,0.15374072,7.8701701,47.6742,0.5137
HD 179079 b,14.479,HD 179079,-2.638385,7.95,1.14,5646.0,0.12154574,164.32815,911.75296,Neptunian,1.63,G,2.4189526,Hot,0,0.14747969,5.4747472,25.744068,0.1214
HD 180617 b,105.9,HD 180617,5.168904,9.12,0.45,3557.0,0.33999696,0.26108253,181.23074,Neptunian,0.45,M,0.029043512,Warm,0,0.42777268,3.5267191,12.201417,0.3357
HD 181433 b,9.3743,HD 181433,-66.468796,8.4,0.63,4918.0,0.0864,55.767004,674.11209,Superterran,0.79,K,0.32711234,Hot,0,0.25817357,2.4020004,6.3565601,0.08
HD 190360 c,17.111,HD 190360,29.896805,5.73,0.99,5552.0,0.13406222,66.972094,720.99493,Neptunian,1.14,G,1.1063593,Hot,0,0.17711625,4.5877261,19.06968,0.1304
